details,date,description,man_hours,type,location_name,grid_ref
Incident Report #79 2004,"Friday, 22 October, 2004 - 14:38",We were requested to assist Patterdale MRT with the evacuation of a man who had fallen and suffered a suspected depressed skull fracture. We were en-route when we were recalled because the casualty had been successfully evacuated by RAF helicopter.,NA,Fellwalking,Patterdale,NA
Incident Report #78 2004,"Friday, 15 October, 2004 - 11:55",In a repeat of the previous incident we were requested to assist the ambulance service with the recovery of a woman who had sustained an ankle fracture when she slipped on steep ground.,NA,Fellwalking,Grasmere,NA
Incident Report #77 2004,"Wednesday, 13 October, 2004 - 11:58",We were requested to assist the ambulance service with the recovery of a woman who had sustained an ankle fracture when she slipped on a wet rock slab on the path.,NA,Fellwalking,Ambleside,NA
Incident Report #76 2004,"Sunday, 10 October, 2004 - 18:45","Two 20-year-old men from Manchester became cragfast when they got on to steep ground, without torches, above Bright Beck. They were located by team members, escorted back to the valley floor and transported to their accommodation.",NA,Fellwalking,Gt Langdale,NA
Incident Report #75 2004,"Saturday, 9 October, 2004 - 14:45",We had just finished clearing up and repacking from the previous incident when we were called to attend another. A woman had sustained a suspected ankle fracture after a slip descending Stickle Ghyll. She was treated by team members and evacuated to the valley floor by the helicopter that was still in the area.,NA,Fellwalking,Gt Langdale,NA
Incident Report #74 2004,"Saturday, 9 October, 2004 - 14:45","A second male competitor, this time 34 years old, fell off his bike. He sustained a suspected serious arterial bleed to his leg. An ambulance was called, but an RAF helicopter came into the area on a routine training exercise and flew the casualty to hospital.
 ",NA,Mountain Biking,Ambleside,NA
Incident Report #73 2004,"Saturday, 9 October, 2004 - 11:55","A 47-year-old male Polaris Mountain Bike Challenge competitor fell while trying to get off his bike. He sustained a suspected fractured ankle. An ambulance was called, and then we were called to assist.",NA,Mountain Biking,Bell Grange,NA
Incident Report #72 2004,"Thursday, 7 October, 2004 - 15:20","A 26-year-old woman slipped and sustained an ankle fracture. She was treated, given pain relief and evacuated.",NA,Fellwalking,Troutbeck,NA
Incident Report #71 2004,"Wednesday, 6 October, 2004 - 14:08",A 66-year-old woman slipped on a very wet path and sustained an ankle fracture. We plodged through big puddles to rescue her. A fun time was had by all.,NA,Fellwalking,Gt Langdale,NA
Incident Report #70 2004,"Tuesday, 28 September, 2004 - 15:22",An 81-year-old man sustained a shoulder injury when he slipped and fell over. He was treated and evacuated with help from Kendal MRT.,NA,NA,Easedale Tarn,NA
Incident Report #69 2004,"Monday, 27 September, 2004 - 20:10","A man walking with his friend suffered head and chest injuries when he fell near the top end of Rest Ghyll on the back of Crinkle Crags. He was unconscious for a short time. His friend descended to get help and Wasdale MRT were alerted. Because the informant didn't appear absolutely certain were he had left his friend we were also called. He was located by Wasdale MRT members and treatment was given. With our help he was evacuated from the ghyll and the long carry out down Mosedale began. Other personnel came up Mosedale to assist, including members of Kendal MRT.",NA,Search,Rest Ghyll,NA
Incident Report #68 2004,"Saturday, 25 September, 2004 - 15:53","A Maltese man slipped and sustained a lower leg injury. We don't normally go up hill, but in this case we took the slightly scenic route because the smooth, grassy descent around the back of Tarn Crag is much better than the rocky descent of Stickle Ghyll. After seeing the man safely in to an ambulance we retired to the pub to refresh ourselves. A couple of men at the bar who had seen us go up, and who had read about the team offered to stand us a round. A much appreciated gesture! Thanks.",NA,Fellwalking,Stickle Tarn,NA
Incident Report #67 2004,"Saturday, 25 September, 2004 - 11:05","A 9-year-old girl slipped and sustained a suspected arm fracture. We eventually located them, because they weren't certain were they where. They girl was treated and given pain relief and carried to a waiting ambulance.",NA,Fellwalking,Ambleside,NA
Incident Report #66 2004,"Saturday, 18 September, 2004 - 13:07","A man slipped and sustained a lower leg injury. The team treated his injuries, and onward transport to hospital was arranged.",NA,Fellwalking,Little Langdale,NA
Incident Report #65 2004,"Friday, 17 September, 2004 - 22:42","A man slipped and sustained a lower leg injury. In a joint operation with Patterdale MRT, he was treated and carried to Scandale and transferred to a waiting vehicle. It was dark, windy and wet. We got home about 5.30am.",NA,Fellwalking,Dove Crag,NA
Incident Report #64 2004,"Monday, 13 September, 2004 - 13:20",A 70-year-old man collapsed. The air ambulance was mobilised and we were called to help. Sadly the man died at the scene. His body was recovered to the valley floor along with a family member.,NA,Fellwalking,Grasmere,NA
Incident Report #63 2004,"Friday, 10 September, 2004 - 12:32","A 68-year-old man tripped and fell, sustaining a suspected fracture/dislocation to his shoulder and a graze to his knee. He was treated at he scene and evacuated in our ambulance, which we had been able to drive close to his location.",NA,Fellwalking,Scab Moss,NA
Incident Report #62 2004,"Friday, 3 September, 2004 - 17:47",A woman used her mobile to report herself lost. We located her and returned her to her accommodation.,NA,Fellwalking,Huntingstile,NA
Incident Report #61 2004,"Thursday, 2 September, 2004 - 15:47","A man sustained a knee injury in Far Easedale. We were given a location by a passer-by. A second informant gave us another location, which he was adamant was correct. He was completely wrong (and is probably still up there, if his map reading skills are anything to go by!). The casualty was treated by team members and carried down with assistance from Kendal MRT. More substantial footwear may have given him more support and prevented the damage.",NA,Fellwalking,Grasmere,NA
Incident Report #60 2004,"Monday, 23 August, 2004 - 21:43","A group of five got into difficulty on Bracken Hause, Helm Crag, when they missed the path and became cragfast. A small group of team members went to their assistance and escorted them down. Nobody was injured.",NA,Fellwalking,Grasmere,NA
Incident Report #59 2004,"Sunday, 22 August, 2004 - 13:20"," A 12-year-old boy slipped and sustained a nasty gash to his leg in the Junior Guides race at Grasmere Sports. He was treated by team members and evacuated to a county ambulance. We were assisted by St John Ambulance, who were also attending the show.",NA,Fellrunning,Alcock Tarn,NA
Incident Report #58 2004,"Saturday, 21 August, 2004 - 18:31","A man sustained an ankle injury on Scafell. He struggled as far as Rossett Ghyll before he could go no further. This level of self-reliance has to be applauded. The man was embarrassed and apologetic for calling us out, but realistically he could not have been expected to get much further. He was treated by team members and evacuated by stretcher.",NA,Fellwalking,Rossett Ghyll,NA
Incident Report #57 2004,"Thursday, 19 August, 2004 - 18:47","We were asked to assist Wasdale MRT in a search for a couple trying to find their way down from Scafell. They were reported as having no waterproofs, little food, and the homing facility on their umbrella had failed. They were located in Little Narrow Cove.",NA,Search,Gt Langdale,NA
Incident Report #56 2004,"Wednesday, 11 August, 2004 - 18:27","A dog was reported as running around Easedale Tarn area, barking and sounding distressed. The caller assumed that its owner was in need of help. A small search was organised before we concluded it was a trial hound running a little late.",NA,Search,Grasmere,NA
Incident Report #55 2004,"Wednesday, 11 August, 2004 - 14:33",A woman slipped and sustained an ankle injury. She was treated and carried down.,38,Fellwalking,Ambleside,NA
Incident Report #54 2004,"Monday, 2 August, 2004 - 14:00",A 65-year-old woman slipped and sustained an ankle injury on the descent to Rydal Water from Loughrigg. The team attended and sorted her out.,NA,Fellwalking,Ambleside,NA
Incident Report #53 2004,"Sunday, 1 August, 2004 - 14:35","A woman in her 20s was seconding a climb when she fell off. She fell approximately 15 metres, penduluming into the crag. She sustained a serious head injury, despite her helmet, and injuries to her lower back and ankle. She was treated at the scene and airlifted to Cumberland Infirmary in Carlisle by RAF helicopter. Again we were assisted by Kendal MRT.",NA,Rock climbing,Gt Langdale,NA
Incident Report #52 2004,"Sunday, 1 August, 2004 - 13:51","A 57-year-old male slipped and sustained a dislocated ankle. The team responded and were en route when we were made aware of a second incident in Langdale. The first incident was dealt with by giving first aid to the man and he was carried off and taken to Kendal Hospital by Kendal MRT, who had come to help.",NA,Fellwalking,Easedale Tarn,NA
Incident Report #51 2004,"Wednesday, 28 July, 2004 - 13:59","A 74-year-old male, walking with a family group, collapsed and was unable to move, probably due to fatigue. His son set off to get help, borrowed a mobile phone from a passer-by and contacted us. He then continued to descend with his young children, as a result of which we had no further contact with the casualty. We climbed on to the ridge but were unable to locate the man. He was eventually located by Kendal MRT descending in to Easedale under his own steam, having recovered sufficiently. He was given the once-over by Kendal MRT's doctor and allowed to go home.",NA,Fellwalking,Grasmere,NA
Incident Report #50 2004,"Saturday, 24 July, 2004 - 13:59","A 58-year-old male collapsed at High Sweden Bridge. The team attended, but he was certified dead by the team doctor. His body was conveyed to Ambleside.",NA,Fellwalking,Ambleside,NA
Incident Report #49 2004,"Saturday, 17 July, 2004 - 21:09","Three men became lost on Bowfell. They were inadequately equipped for the conditions which were cold, wet and windy. They happened upon a group of Duke of Edinburgh Award candidates who, although slightly off route, were equipped for, and coping with, the conditions. The young people from the D of E expedition realised that the men were in trouble, and put tents up for them, and prepared to spend the night. They contacted their assessor to let them know that they weren't going to make it to their planned campsite, and that they would continue in the morning.",NA,Fellwalking,Gt Langdale,NA
